2025-09-07 18:46:53.976 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-09-07 18:46:53.988 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-09-07 18:46:53.992 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.569 seconds (process running for 2.066)
2025-09-07 18:46:55.056 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-09-07 18:46:55.056 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-09-07 18:46:55.058 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-09-07 18:46:55.161 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:46:55.161 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:46:55.172 [http-nio-8080-exec-1] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:46:55.196 [http-nio-8080-exec-2] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:46:55.207 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-09-07 18:46:55.456 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@76f6c646
2025-09-07 18:46:55.457 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-09-07 18:46:56.760 [http-nio-8080-exec-4] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:46:56.760 [http-nio-8080-exec-3] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:46:56.760 [http-nio-8080-exec-3] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:46:56.760 [http-nio-8080-exec-4] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:46:57.688 [http-nio-8080-exec-6] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:46:57.688 [http-nio-8080-exec-5] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:46:57.688 [http-nio-8080-exec-6] INFO  com.itheima.controller.EmpController-查询所有班主任
2025-09-07 18:46:57.689 [http-nio-8080-exec-5] INFO  com.itheima.controller.ClazzController-分页查询班级信息，参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2025-09-07 18:47:45.347 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-09-07 18:47:45.353 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-09-07 18:47:45.356 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-09-07 18:47:45.360 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-09-07 18:48:48.576 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 21.0.2 with PID 29140 (E:\Project\BackEnd_learning\web-code\web-ai-project02\tlias-web-management\target\classes started by Dell in E:\Project\BackEnd_learning\web-code\web-ai-project02)
2025-09-07 18:48:48.577 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-09-07 18:48:49.318 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-09-07 18:48:49.327 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-09-07 18:48:49.328 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-09-07 18:48:49.328 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-07 18:48:49.359 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-09-07 18:48:49.359 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 755 ms
2025-09-07 18:48:49.954 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-09-07 18:48:49.992 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-09-07 18:48:50.003 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.722 seconds (process running for 2.172)
2025-09-07 18:50:05.698 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-09-07 18:50:05.699 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-09-07 18:50:05.703 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 3 ms
2025-09-07 18:50:05.904 [http-nio-8080-exec-1] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:05.904 [http-nio-8080-exec-2] INFO  com.itheima.interceptor.TokenInterceptor-令牌合法, 放行
2025-09-07 18:50:05.936 [http-nio-8080-exec-1] INFO  com.itheima.controller.ClazzController-查询所有班级信息
